"","x","y","u","y2","y3","alphap"
"1",1,3.3,0.7,3.3,3.6,2
"2",1,2.53641574670339,1.24596883935836,3.12976849305756,2.93406613398684,1.59741001230691
"3",1,3.51865978034532,1.55612160983596,4.11005971994271,3.38197894504051,1.08955502869798
"4",1,2.25096719672298,0.632454740618226,2.8740787898067,2.75637110791696,1.67559322693275
"5",1,3.57389222385589,1.27874300206588,4.17523807809221,4.03098887565637,1.65435838094104
"6",1,3.10689648485713,1.39744567151149,3.70106608626376,3.05716562208934,1.17438852479996
"7",1,2.29915216021538,1.10955584143469,2.90007042339556,2.8205223711874,1.70623359687511
"8",1,2.80175791126089,1.07432253940017,3.40877954666412,2.96802356727111,1.36304425850734
"9",1,2.83105119414125,1.06399724642476,3.43781675313958,2.99843411044011,1.3684765640618
"10",1,2.61530469284998,0.970358873191858,3.22414933173508,3.05031246155403,1.62164951596555
"11",1,2.39506878172112,1.0730833534074,2.99649960323818,3.00020131470566,1.78755443491802
"12",1,2.30157108832624,0.9410761728491,2.90890207166751,2.91753245415461,1.79032620003726
"13",0,1.36770176172834,0.984103668798969,1.97542437465352,1.36345884031282,1.17812881162411
"14",1,3.18172068054351,1.22834725704117,3.18435888489425,3.37277126113781,1.3960721184308
"15",1,3.13685858579657,1.51813799079875,3.72611112872011,3.51957810115973,1.59085064113462
"16",1,2.63147733590882,1.25902725023972,3.22982442565487,2.93319772868004,1.49995734707177
"17",1,1.87806951101969,1.10681877281329,2.47462816526183,2.02843904446111,1.34970979853631
"18",1,2.6179244585714,0.970797832687977,3.22859936795433,2.22185250209067,0.818237213217389
"19",1,2.7230235817546,0.971331766048995,3.33274666732033,2.9785172244072,1.44990574952498
"20",1,4.37446317421522,1.89150113968288,4.95444484744014,4.3996168735708,1.26113008746393
"21",1,3.78444087764188,1.38415104685113,4.3877381796858,4.1674362444189,1.5840049962529
"22",1,2.84688933543981,1.13133572703456,3.45134381140412,3.04672996398281,1.4033109396945
"23",1,3.17311213550594,1.10759460386388,3.78162387517729,3.45101340904116,1.47467190561415
"24",1,3.11879215593913,1.35863071469837,3.71420041533116,3.31452363139444,1.40774259557666
"25",1,2.5357370768542,1.0700808908624,3.14053528285212,2.75471116526914,1.4161203556374
"26",1,2.20509617433281,0.813397928556587,2.81689599028692,2.39380782495386,1.37800730912677
"27",0,1.63810287034789,1.34707515639336,2.23125818904767,1.64563898025885,1.74529852339922
"28",1,2.60030358174973,0.975027712135733,2.6112594921402,3.0531052477001,1.63540074565231
